index,type,l,b,distance,metallicity
1778,open,217.28,6.29,3211,NaN
1779,open,305.18,-10.84,3211,NaN
1780,open,186.52,2.52,3220,NaN
1781,open,110.14,11.2,3220,NaN
1782,open,119.58,5.68,3233,NaN
1783,open,213.23,1.07,3239,NaN
1784,open,243.78,0.37,3246,NaN
1785,open,253.02,-2.02,3254,NaN
1786,open,282.13,-1.36,3258,NaN
1787,open,307.71,-0.56,3258,NaN
1788,open,176.63,0.89,3260,NaN
1789,open,26.64,12.2,3260,NaN
1790,open,311.77,-3.21,3274,NaN
1791,open,72.15,0.3,3292,NaN
1793,open,168.44,1.22,3299,NaN
1792,open,118.84,-1.67,3299,0.07
1795,open,122.24,1.52,3300,NaN
1796,open,173.58,-1.66,3300,NaN
1797,open,182.87,10.44,3300,NaN
1794,open,161.64,-2.02,3300,0.07
1798,open,90.3,3.76,3301,NaN
1799,open,259.93,2.05,3308,NaN
1800,open,340.79,-0.13,3308,NaN
1801,open,45.94,1.07,3308,NaN
1802,open,187.77,10.3,3311,-0.39
1803,open,301.49,2.21,3311,-0.11
1804,open,227.87,0.24,3320,NaN
1805,open,267.62,-5.48,3330,NaN
1806,open,297.77,5.71,3330,NaN
1807,open,100.36,3.61,3330,NaN
1808,open,116.88,8.68,3330,NaN
1809,open,290.67,3.87,3336,NaN
1810,open,218.01,-0.32,3344,NaN
1811,open,70.63,1.76,3354,NaN
1812,open,340.67,0.02,3355,NaN
1813,open,331.35,1.07,3358,NaN
1814,open,231.51,-4.31,3360,NaN
1815,open,268.9,4.11,3360,NaN
1816,open,224.86,-5.77,3361,NaN
1817,open,50.51,-8,3367,NaN
1818,open,231.59,-2.18,3369,NaN
1819,open,54.18,-0.6,3369,NaN
1820,open,19.68,-1.2,3381,NaN
1821,open,346.86,12.21,3393,NaN
1822,open,104.12,3.21,3399,NaN
1823,open,153.41,-1.89,3400,NaN
1824,open,33.68,-2.47,3401,-0.15
1825,open,106.75,-2.96,3402,NaN
1826,open,344.44,-0.44,3411,NaN
1827,open,315.1,-2.65,3412,NaN
1828,open,341.61,0.91,3412,NaN
1829,open,16.67,-0.33,3412,NaN
1830,open,270.22,-5.44,3413,NaN
1831,open,57.47,-1.11,3422,NaN
1832,open,170.61,-8.72,3423,NaN
1833,open,233.72,-7.57,3434,NaN
1834,open,187.26,4.18,3435,NaN
1835,open,54.07,-0.08,3447,NaN
1836,open,190.78,-0.79,3465,NaN
1837,open,263.73,-1.81,3473,NaN
1838,open,305.98,-8.61,3477,NaN
1839,open,338.85,5.82,3481,NaN
1840,open,340.79,-1.03,3490,NaN
1841,open,290.76,-10.52,3494,NaN
1842,open,169.65,-0.07,3497,NaN
1843,open,240.85,-6.54,3497,NaN
1844,open,16.38,6.26,3497,NaN
1845,open,25.7,5.08,3497,NaN
1846,open,116.2,0.34,3500,NaN
1847,open,173.4,10.65,3501,-0.31
1848,open,106.82,3.31,3501,NaN
1849,globular,18.4,16.04,3503,-0.55
1850,open,92.58,-1.63,3508,NaN
1851,open,211.08,1.2,3511,NaN
1852,open,69.92,1.53,3518,NaN
1853,open,120.56,-1.27,3519,NaN
1854,open,230.55,9.93,3526,-0.2
1855,open,352.23,-2.12,3540,NaN
1856,open,105.28,-10.95,3541,NaN
1857,open,258.46,2.28,3552,NaN
1858,open,106.63,-0.38,3552,NaN
1859,open,359.7,-2.43,3567,NaN
1860,open,284.73,-8.5,3575,NaN
1861,open,297.2,-13.13,3575,NaN
1862,open,337.73,-3.66,3584,NaN
1863,open,302.25,-18.1,3597,NaN
1864,open,117.62,1.2,3599,0.07
1865,open,289.09,0.34,3600,NaN
1866,open,54.73,-1.24,3600,NaN
1867,open,170.75,4.64,3601,NaN
1868,open,307.32,3.6,3602,NaN
1869,open,264.6,18.83,3603,NaN
1870,open,339.6,-4.03,3612,NaN
1871,open,193.35,-2.6,3616,NaN
1872,open,112.36,8.75,3616,NaN
1873,open,63.1,-17.39,3620,NaN
1874,open,248.13,-1.22,3628,NaN
1875,open,250.72,0.81,3640,NaN
1876,open,261.52,3.75,3642,NaN
1877,open,239.57,-4.93,3654,NaN
1878,open,44.45,-7.37,3685,NaN
1879,open,134.21,1.07,3700,NaN
1880,open,11.57,3.06,3707,NaN
1881,open,167.69,-1.32,3720,NaN
1882,open,227.17,-10.04,3720,NaN
1883,open,63.84,1.9,3731,NaN
1884,open,0.03,3.44,3739,NaN
1885,open,291.04,-2.08,3740,NaN
1886,open,169.42,3.65,3741,NaN
1887,open,318.43,-6.7,3743,NaN
1888,open,121.23,19.12,3744,NaN
1889,open,187.59,10.34,3744,NaN
1890,open,186.28,-2.56,3753,NaN
1891,open,65.56,-4.05,3776,NaN
1892,open,229.67,1.85,3778,NaN
1893,open,182.74,0.47,3787,NaN
1894,open,255.6,3.95,3789,-0.61
1895,open,226.01,-16.11,3790,-0.32
1896,open,74.63,-2.08,3797,NaN
1897,open,342.06,0.42,3798,NaN
1898,open,111.46,5.17,3801,NaN
1899,open,67.87,-2.84,3810,NaN
1900,open,181.53,-3.91,3816,NaN
1901,open,351.29,-16.61,3830,NaN
1902,open,246.45,-4.47,3834,NaN
1903,open,247.64,2.69,3835,NaN
1904,open,213.46,3.3,3842,-0.17
1905,open,245.88,-1.73,3858,-0.4
1906,open,246.66,-3.25,3858,NaN
1907,open,261.96,12.55,3860,NaN
1908,open,104.17,-2.22,3864,NaN
1909,open,284.44,-4.86,3884,NaN
1910,open,265.42,-2.17,3886,NaN
1911,open,244.55,-6.8,3894,NaN
1912,open,197.21,8.89,3896,-0.32
1913,open,125.74,12.1,3896,NaN
1914,open,158.6,5.68,3900,NaN
1915,open,331.33,-0.33,3917,NaN
1916,open,51.11,-4.04,3918,NaN
1917,open,70.72,0.96,3924,NaN
1918,open,235.61,-4.11,3930,NaN
1919,open,21.25,4.13,3940,NaN
1920,open,87.18,0.98,3948,NaN
1921,open,227.86,5.37,3963,-0.38
1922,open,234.33,-10.33,3969,NaN
1923,open,282.2,-2.19,3973,NaN
1924,open,20.86,4.3,3976,NaN
1925,open,246.51,-5.4,3978,NaN
1926,open,112.05,13.96,3990,NaN
1927,open,132.5,2.5,3991,NaN
1928,globular,56.74,-4.56,3999,-0.75
1929,open,121.63,-1.99,4000,NaN
1930,open,134.16,-1.71,4000,NaN
1931,open,101.36,-1.87,4000,NaN
1932,open,167.68,-0.66,4001,NaN
1933,open,173.7,-1.39,4001,NaN
1934,open,107.1,1.16,4001,NaN
1935,globular,336.49,-25.62,4002,-1.25
1936,open,107.9,0.58,4004,NaN
1937,open,307.72,-5.3,4015,NaN
1938,open,243.55,-9.2,4023,NaN
1939,open,65.91,-2.68,4023,NaN
1940,open,310.69,2.19,4028,NaN
1941,open,213.19,-3.32,4040,NaN
1942,open,112.52,8.65,4051,NaN
1943,open,316.76,-0.04,4069,NaN
1944,open,334.14,0.04,4076,NaN
1945,open,286.53,-2.72,4078,NaN
1946,open,12.29,7.32,4078,NaN
1947,open,22.46,-10.25,4079,NaN
1948,open,276.48,-3.11,4089,NaN
1949,open,135.64,2.27,4101,NaN
1950,open,338.19,0.48,4101,NaN
1951,open,307.05,-5.59,4103,NaN
1952,open,345.17,3.44,4103,NaN
1953,open,273.1,8.77,4104,NaN
1954,open,290.55,-0.95,4129,NaN
1955,open,271.62,0.4,4131,NaN
1956,open,9.24,-10.75,4135,NaN
1957,open,230.98,1.48,4141,NaN
1958,open,234.23,-0.49,4152,NaN
1959,open,282.32,-1.06,4153,NaN
1960,open,321.05,-0.68,4164,NaN
1961,open,96.53,1.25,4166,NaN
1962,open,247.88,-0.11,4167,NaN
1963,open,311.85,3.82,4167,NaN
1964,open,261.49,-0.85,4178,NaN
1965,open,229.88,-1.61,4186,NaN
1966,open,237.87,-3.8,4192,NaN
1967,open,58.26,-2.33,4192,NaN
1968,open,170.45,2.25,4200,NaN
1969,open,51.32,-8.41,4200,NaN
1970,open,103.84,-5.67,4201,NaN
1971,open,27.81,-13.49,4213,NaN
1972,open,81.56,-0.08,4227,NaN
1973,open,83.08,-4.13,4236,NaN
1974,open,308.17,-8.53,4239,NaN
1975,open,242.32,-0.11,4244,NaN
1976,open,260.42,-1.31,4269,NaN
1977,open,269.23,-3.76,4269,NaN
1978,open,12.89,-0.26,4269,NaN
1979,open,77.77,4.4,4296,NaN
1980,open,31.99,11.13,4297,NaN
1981,open,146.25,3.12,4299,NaN
1982,open,171.89,0.46,4301,NaN
1983,open,250.28,-9.71,4317,NaN
1984,open,231.5,3.29,4330,NaN
1985,open,308.76,-7.25,4331,NaN
1986,open,227.27,6.55,4332,NaN
1987,open,231.98,1.99,4336,NaN
1988,open,6.17,0.86,4340,NaN
1989,open,332.95,0.78,4362,NaN
1990,open,198.03,-5.81,4364,-0.18
1991,open,289.52,-1.95,4372,NaN
1992,open,234.68,-0.25,4389,NaN
1993,open,43.03,3.92,4389,NaN
1994,open,59.99,-1.08,4394,NaN
1995,open,151.27,1.78,4400,NaN
1996,globular,15.13,23.08,4405,-1.25
1997,open,276.78,-4.48,4405,NaN
1998,open,16.71,2.25,4415,NaN
1999,open,295.6,-0.7,4416,NaN
2000,open,33.08,0.08,4427,NaN
2001,open,105.14,3.39,4427,NaN
2002,open,25.27,6.24,4429,NaN
2003,open,286.79,-0.5,4430,NaN
2004,open,300.1,-0.66,4430,NaN
2005,open,77.01,-4.58,4431,NaN
2006,open,218.37,-16.21,4432,NaN
2007,open,239.48,-18.02,4446,-0.49
2008,open,68.69,1.93,4451,NaN
2009,open,42.95,4.08,4457,NaN
2010,open,227.93,-3.62,4458,-0.38
2011,open,298.9,14.22,4467,NaN
2012,open,259.54,-14.27,4487,-0.33
2013,open,296.22,-3.54,4494,NaN
2014,open,85.25,0.02,4494,NaN
2015,open,48.35,2.46,4496,NaN
2016,open,127.74,2.08,4499,NaN
2017,open,246.24,-0.05,4499,NaN
2018,open,176.38,3.1,4500,-0.46
2019,open,121.96,-2.71,4500,NaN
2020,open,229.84,2.45,4500,NaN
2021,globular,305.9,-44.89,4501,-0.65
2022,open,5.19,-0.47,4513,NaN
2023,open,296.48,-2.77,4532,NaN
2024,open,236.38,-2.17,4541,NaN
2025,open,298.17,-0.79,4564,NaN
2026,open,283.8,2.44,4569,NaN
2027,open,301.11,0.97,4569,NaN
2028,open,69.2,3.38,4569,NaN
2029,open,286.39,-2.53,4583,NaN
2030,open,222.03,-5.32,4591,-0.09
2031,open,195.32,-1.32,4597,NaN
2032,open,174.76,-5.58,4598,NaN
2033,open,116.87,4.03,4601,NaN
2034,open,195.59,0.75,4610,NaN
2035,open,356.38,9.17,4627,NaN
2036,open,275.28,-0.46,4635,NaN
2037,open,117.81,-2.74,4638,NaN
2038,open,256.14,-14.28,4640,NaN
2039,open,299.13,6.51,4640,NaN
2040,open,10.32,-0.15,4644,NaN
2041,open,245.75,0.49,4666,NaN
2042,open,211.79,9.61,4670,NaN
2043,open,231.35,2.58,4697,NaN
2044,open,219.25,5.18,4699,NaN
2045,open,120.94,6.1,4701,NaN
2046,open,230,-7.56,4712,NaN
2047,open,245.65,-4.31,4712,NaN
2048,open,244.44,-2.98,4712,NaN
2050,open,96.38,1.25,4724,NaN
2049,open,192.6,5.39,4724,0.07
2051,open,13.34,0.08,4736,NaN
2052,open,131.44,0.62,4739,NaN
2053,open,108.31,-0.81,4739,NaN
2054,open,195.65,16.44,4755,NaN
2055,open,271.65,-0.7,4767,NaN
2056,open,186.64,1.77,4770,-0.25
2057,open,197.74,1.65,4783,NaN
2058,open,259.06,2,4783,NaN
2059,open,306.62,8.5,4784,NaN
2060,open,225.44,-4.6,4785,-0.26
2061,open,339.91,12.97,4785,NaN
2062,open,60.43,-6.14,4785,NaN
2063,globular,15.71,26.32,4797,-1.05
2064,open,176.91,-3.63,4800,-0.5
2065,open,265.27,6.36,4800,NaN
2066,open,131.97,4.61,4801,-0.61
2067,globular,8.36,-2.09,4801,-0.5
2068,open,130.05,-0.17,4801,-0.18
2069,open,42.8,3.58,4813,NaN
2070,open,217.12,5.96,4815,-0.38
2071,open,265.79,-5.01,4829,NaN
2072,open,223.54,10.08,4836,-0.26
2073,open,322.44,5.95,4844,NaN
2074,open,2.14,19.61,4844,NaN
2075,open,348.7,-0.76,4854,NaN
2076,open,184.86,-1.74,4857,NaN
2077,open,52.27,-10.48,4860,NaN
2078,open,230.79,1.01,4873,NaN
2079,open,78.13,-5.26,4873,NaN
2080,open,225.5,1.78,4889,NaN
2081,open,113.03,-4.85,4900,-0.38
2082,open,116.26,-2.09,4901,NaN
2083,globular,277.22,8.64,4904,-1.45
2084,open,69.96,10.91,4926,0.32
2085,open,60.75,-0.56,4929,NaN
2086,open,223.11,-2.77,4933,NaN
2087,open,276.64,3.45,4936,NaN
2088,open,88.05,0.11,4940,NaN
2089,open,67.89,-3.18,4947,NaN
2090,open,92.93,2.8,4976,NaN
2091,open,210.79,2.87,4983,NaN
2092,open,207.95,4.4,4996,-0.29
2093,open,115.95,10.15,4999,-0.58
2094,open,166.87,3.6,5001,-0.32
2095,open,127.37,13.22,5001,NaN
2096,open,140.55,2.97,5001,NaN
2097,open,32.21,18,5011,NaN
2098,open,212.6,5.36,5012,NaN
2099,open,84.57,6.47,5038,NaN
2100,open,188.05,-2.22,5041,NaN
2101,open,227.47,-0.58,5041,NaN
2102,open,207.79,2.6,5042,NaN
2103,open,121.92,2.1,5053,NaN
2104,open,249.87,3.68,5067,NaN
2105,open,126.9,0.01,5086,NaN
2106,open,120.08,1.02,5087,NaN
2107,open,257.13,-5.84,5118,NaN
2108,open,351.64,-1.24,5147,NaN
2109,open,173.76,-5.85,5151,NaN
2110,open,242.38,-3.55,5157,NaN
2111,open,334.72,-0.65,5163,NaN
2112,open,24.96,0.52,5163,NaN
2113,open,244.58,-0.55,5165,NaN
2114,open,241.34,18.67,5168,NaN
2115,open,286.2,-7.54,5168,NaN
2116,open,1.86,-9.53,5174,NaN
2117,open,298.78,-1.02,5179,NaN
2118,globular,309.1,14.97,5199,-1.45
2119,open,262.35,-1.79,5202,NaN
2120,open,109.8,7.4,5213,NaN
2121,open,303.11,-4.3,5229,NaN
2122,open,323.45,0.11,5240,NaN
2123,open,250.03,0.96,5243,NaN
2124,open,275.39,1.77,5246,NaN
2125,open,160.7,4.84,5247,-0.03
2126,open,234.92,4.55,5250,NaN
2127,open,279.36,4.89,5254,NaN
